nsecode,per_chg,close,date,sector,count,frequency,Piotrski
PIIND,-1.15,4273.85,2024-08-20,Agro Chemicals,2,1,7
SRF,-0.5,2463.7,2024-08-20,Chemicals,5,1,4
OBEROIRLTY,-0.68,1754.9,2024-08-20,Realty,9,1,7
BHARATFORG,-0.94,1572.85,2024-08-20,"Castings, Forgings & Fastners",13,1,8
ADANIPORTS,-0.3,1492.0,2024-08-20,Marine Port & Services,12,1,8
BHARTIARTL,-1.38,1449.35,2024-08-20,Telecomm-Service,14,1,5
TATACONSUM,-0.65,1169.7,2024-08-20,Plantation & Plantation Products,6,1,5
SUNTV,-2.54,793.5,2024-08-20,Entertainment,7,1,8
AMBUJACEM,-1.08,626.85,2024-08-20,Cement,6,1,7
ONGC,-1.88,329.0,2024-08-20,Crude Oil & Natural Gas,7,1,8
ABFRL,-0.39,319.0,2024-08-20,Retail,9,1,3
GMRINFRA,-0.72,95.6,2024-08-20,Infrastructure Developers & Operators,4,1,6
