nsecode,per_chg,close,date,sector,count,frequency,Piotrski
AJANTPHARM,-4.08,3045.9,2024-08-14,Pharmaceuticals,2,3,8
NATCOPHARM,-1.1,1458.9,2024-08-14,Pharmaceuticals,3,3,7
GLS,-0.63,978.8,2024-08-14,Pharmaceuticals,3,3,6
CENTURYPLY,0.06,730.6,2024-08-14,Plywood Boards/Laminates,1,1,3
WELCORP,-1.72,660.9,2024-08-14,Steel,3,1,8
JUBLFOOD,-0.81,639.0,2024-08-14,Quick Service Restaurant,3,1,5
BALRAMCHIN,-1.74,502.5,2024-08-14,Sugar,2,1,8
INOXWIND,-2.61,210.14,2024-08-14,Capital Goods - Electrical Equipment,3,1,4
